,0
SPP1,0.0006195559042330527
AL035665.1,0.0005799763924851557
HBA1,0.0005530776145808777
R3HDML,0.0005377696462090294
TUBB1,0.0005235779246965112
ITLN1,0.0005167860182765045
PKHD1L1,0.0005095783077196655
MIR4530,0.0004961635970178669
LRRN4CL,0.0004816431183153397
SDS,0.000478921041462153
MMP9,0.00047378242862361605
MYBPH,0.0004726154057139987
MIR4322,0.00046372606567342983
RNU1-38P,0.00045282314436845755
PPBP,0.000448089264962782
MIR6774,0.0004443120210339033
MIR3945HG,0.00044295044866159817
MYRIP,0.00043464764635043235
SCARA5,0.0004333005833725387
PF4,0.00043115006331718195
DSP,0.0004280058243229884
AL117382.1,0.00042723419896174
CCL3L1,0.00042265532353604656
RNU6-5P,0.0004222498681971514
CHRDL2,0.0004086731693610343
RS1,0.0004083680617550172
PCP4,0.00040796468268862517
AC007336.2,0.0004060362567423761
CILP2,0.00040376730970564364
TMEM132C,0.0003952043929952693
ZMIZ1-AS1,0.0003934567596683848
DDIT4L,0.00039326990772575114
MMP12,0.0003922772529388137
LINC02038,0.0003901935625777219
ADAMDEC1,0.00038890955939149905
COL10A1,0.0003883948580059929
BRI3P1,0.00038555456372416075
TMEM213,0.00038405609856624606
RNU1-61P,0.0003824191080359315
AC020571.1,0.0003799326422105961
C20orf202,0.00037782736602977166
LINC00702,0.00037769338446968695
SERTM2,0.0003759946081610731
MIR642A,0.0003749453184632429
CYP27B1,0.000372747886347909
FBXO32,0.00037175909004570206
MYBPC2,0.0003675210706826151
MASP1,0.00036748189833067316
HP,0.00036677001255082137
GPR17,0.00036558870062111914
SIGLEC15,0.0003640997482355037
MIR6503,0.0003636983564473797
RUNDC3B,0.00036363026970363913
AC002066.1,0.0003619429128055085
IL22RA2,0.00035999797242262596
DLG2,0.000359653521787223
SLC2A5,0.0003580405140030651
AC010776.2,0.00035551816270232826
PKD2L1,0.00035420126040441467
HMCN2,0.0003527092176941705
AC092484.1,0.00035039977335859514
PI16,0.0003489336626425392
GPR82,0.0003485248741579187
AC091849.1,0.00034787808342926917
AC114296.1,0.0003474635372869325
AC253536.5,0.00034677741690901094
AC073439.1,0.0003457456381735969
KRT16P2,0.0003452091345860182
KRT17,0.0003447922737985107
MTCO2P22,0.0003431573967033021
PCDH9,0.00034056173787579163
MIR645,0.00033726854547093805
KIF26B,0.00033587786740409093
AC007938.3,0.00033510465548368997
SPAAR,0.0003348871542186203
RPL3P13,0.00033467806808297403
SLC4A5,0.00033392758966275697
AL391669.1,0.00033392732421441386
NMUR1,0.00033193692838777704
AC074327.1,0.000331895173174305
CFP,0.0003316931774334043
AL008733.1,0.00033126365771898625
MIR6124,0.0003307027683351907
PDIA3P2,0.00033053876058244236
RHOV,0.0003300175578955981
SULT1C2,0.00032819047304284287
MYOC,0.00032767679074465725
CHI3L1,0.00032630004737309223
AC027288.2,0.000326237105160501
SCUBE1,0.0003260318409059711
TNXB,0.00032601489424491137
MIR4641,0.0003252732633097531
PCSK2,0.0003248834138664418
TRAJ8,0.0003244738348334821
C2CD4A,0.00032370744585020214
PERP,0.00032316097510960094
PCDHAC2,0.0003204692687036404
RNA5SP494,0.0003201189866047489
ASPA,0.0003196064501303458
GREM1,0.00031911767401771274
CRLS1,0.0003189482096145055
GPR87,0.000318503233500978
RF00001,0.0003180208512508556
LINC01767,0.0003174470986158305
HAMP,0.0003170054057042541
KRT6A,0.00031669028553998045
AC068722.2,0.0003161489757520461
RPL35P6,0.00031549040131729014
MMRN1,0.00031526919418602866
GLDN,0.0003145628302302862
P4HA3,0.00031349729328872353
AC044849.1,0.00031330624900426774
